[0, Familiar, B, 1383]
[1, Normal, D, 523]
[2, Normal, C, 727]
[3, Normal, A, 888]
[4, Normal, B, 1119]
[5, Normal, D, 982]
[6, Normal, A, 204]
[7, Normal, A, 196]
[8, Normal, A, 122]
[9, Normal, D, 316]
[10, Normal, D, 404]
[11, Familiar, B, 1184]
[12, Familiar, C, 763]
[13, Normal, B, 240]
[14, Normal, A, 20]
[15, Familiar, D, 340]
[16, Familiar, A, 987]
[17, Normal, A, 1306]
[18, Familiar, C, 528]
[19, Familiar, D, 769]
[20, Normal, B, 699]
[21, Familiar, A, 960]
[22, Familiar, A, 25]
[23, Normal, D, 868]
[24, Normal, D, 94]
[25, Familiar, D, 638]
[26, Normal, C, 1164]
[27, Normal, D, 661]
[28, Familiar, B, 240]
[29, Familiar, B, 128]
[30, Normal, C, 1155]
[31, Normal, A, 621]
[32, Normal, A, 734]
[33, Familiar, A, 631]
[34, Familiar, C, 554]
[35, Normal, A, 473]
[36, Familiar, B, 1389]
[37, Familiar, A, 526]
[38, Familiar, C, 996]
[39, Familiar, C, 324]
[40, Familiar, C, 474]
[41, Normal, B, 656]
[42, Familiar, B, 181]
[43, Familiar, D, 1203]
[44, Familiar, A, 524]
[45, Familiar, B, 796]
[46, Normal, A, 331]
[47, Familiar, B, 396]
[48, Familiar, A, 785]
[49, Normal, D, 460]
[50, Normal, C, 112]
[51, Familiar, C, 1136]
[52, Familiar, C, 723]
[53, Familiar, B, 547]
[54, Normal, B, 866]
[55, Normal, C, 306]
[56, Normal, C, 338]
[57, Normal, D, 526]
[58, Normal, A, 475]
[59, Familiar, A, 1178]
[60, Familiar, D, 560]
[61, Familiar, B, 131]
[62, Normal, B, 466]
[63, Familiar, B, 139]
[64, Familiar, A, 889]
[65, Familiar, D, 738]
[66, Familiar, D, 499]
[67, Familiar, B, 1274]
[68, Familiar, D, 778]
[69, Familiar, B, 1364]
[70, Normal, B, 411]
[71, Familiar, A, 1015]
[72, Familiar, A, 1217]
[73, Normal, B, 421]
[74, Normal, C, 538]
[75, Normal, A, 1001]
[76, Normal, D, 745]
[77, Normal, D, 345]
[78, Familiar, D, 709]
[79, Familiar, B, 618]
[80, Familiar, B, 921]
[81, Familiar, C, 1339]
[82, Familiar, D, 49]
[83, Normal, A, 993]
[84, Normal, B, 243]
[85, Normal, C, 387]
[86, Normal, B, 882]
[87, Familiar, A, 993]
[88, Familiar, A, 996]
[89, Familiar, C, 43]
[90, Normal, A, 1358]
[91, Familiar, D, 264]
[92, Familiar, D, 334]
[93, Familiar, B, 1145]
[94, Normal, D, 301]
[95, Familiar, A, 720]
[96, Familiar, A, 1153]
[97, Familiar, D, 820]
[98, Normal, D, 382]
[99, Normal, B, 70]
[100, Familiar, D, 567]
